@relation weather

@attribute temperature_inside numeric
@attribute temperature_outside numeric
@attribute humidity_inside numeric
@attribute humidity_outside numeric
@attribute minute numeric
@attribute hour numeric
@attribute w_day numeric
@attribute temperature_ideal numeric

@data
18,16,75,70,11,12,1,19
19,18,75,76,30,13,1,19
20,20,75,80,20,14,1,19
21,22,75,78,55,15,1,19
22,23,75,62,32,16,1,20
23,23,75,62,54,17,1,20
24,24,75,60,21,18,1,22
25,27,75,55,1,19,1,22
26,28,75,50,23,20,1,22
18,16,75,70,11,12,1,19
19,18,75,76,30,13,1,19
20,20,75,80,20,14,1,19
21,22,75,78,55,15,1,19
22,23,75,62,32,16,1,20
23,23,75,62,54,17,1,20
24,24,75,60,21,18,1,22
25,27,75,55,1,19,1,22
26,28,75,50,23,20,1,28
29,29,61,61,29,13,7,28
29,29,61,61,34,13,7,28
18,16,75,70,11,12,1,19
19,18,75,76,30,13,1,19
20,20,75,80,20,14,1,19
21,22,75,78,55,15,1,19
22,23,75,62,32,16,1,20
23,23,75,62,54,17,1,20
24,24,75,60,21,18,1,22
25,27,75,55,1,19,1,22
26,28,75,50,23,20,1,22
18,16,75,70,11,12,1,19
19,18,75,76,30,13,1,19
20,20,75,80,20,14,1,19
21,22,75,78,55,15,1,19
22,23,75,62,32,16,1,20
23,23,75,62,54,17,1,20
24,24,75,60,21,18,1,22
25,27,75,55,1,19,1,22
26,28,75,50,23,20,1,22
18,16,75,70,11,12,1,19
19,18,75,76,30,13,1,19
20,20,75,80,20,14,1,19
21,22,75,78,55,15,1,19
22,23,75,62,32,16,1,20
23,23,75,62,54,17,1,20
24,24,75,60,21,18,1,22
25,27,75,55,1,19,1,22
26,28,75,50,23,20,1,22.676685
29.052632,29,61,60.947368,52,14,7,22.676685
29,29,61,61,53,14,7,22.676685
28.954545,29.045455,61,61,53,14,7,22.676685
18,16,75,70,11,12,1,19
19,18,75,76,30,13,1,19
20,20,75,80,20,14,1,19
21,22,75,78,55,15,1,19
22,23,75,62,32,16,1,20
23,23,75,62,54,17,1,20
24,24,75,60,21,18,1,22
25,27,75,55,1,19,1,22
26,28,75,50,23,20,1,22.513922
29.052632,29,61,61,56,14,7,22.513922
29,29,61,60.954545,57,14,7,22.513922
28.954545,29.045455,61,61,57,14,7,22.513922
29,29,61.045455,61,58,14,7,22.513922
29,28.954545,61,61.045455,58,14,7,22.513922
29,29.05,61,60.95,59,14,7,22.513922
29.05,28.95,60.95,61,0,15,7,22.513922
28.95,29,61,61.05,0,15,7,22.513922
29.045455,29,61,60.954545,1,15,7,22.513922
18,16,75,70,11,12,1,19
19,18,75,76,30,13,1,19
20,20,75,80,20,14,1,19
21,22,75,78,55,15,1,19
22,23,75,62,32,16,1,20
23,23,75,62,54,17,1,20
24,24,75,60,21,18,1,22
25,27,75,55,1,19,1,22
26,28,75,50,23,20,1,28
29,29,61,61,16,15,7,28
29.052632,29,61,60.947368,16,15,7,28
29,29,61,61,17,15,7,28
28.95,29,61,61.05,18,15,7,28
29,29.05,61,60.95,18,15,7,28
29.05,28.95,61,61,19,15,7,28
28.95,29,61.052632,61.05,19,15,7,28
29,29,60.947368,61,20,15,7,28
29.052632,29,61,60.947368,20,15,7,28
28.95,29,61.052632,61.05,21,15,7,28
29.052632,29,60.95,60.947368,21,15,7,24.711946
28.95,29,61,61.05,22,15,7,24.711946
29.052632,29,61,60.947368,22,15,7,24.711946
28.95,29,61,61.05,23,15,7,24.711946
29,29,61,61,23,15,7,24.711946
29,29,61,61,24,15,7,24.800926
29,29,61,61,24,15,7,24.800926
29,29.05,61.05,60.95,25,15,7,24.800926
29.05,28.95,60.95,61,25,15,7,24.800926
28.95,29,61,61.05,26,15,7,24.800926
29,29,61,61,26,15,7,24.715447
29,29,61.05,60.95,27,15,7,24.715447
29.05,29,60.95,61,27,15,7,24.715447
28.947368,29,61.052632,61,28,15,7,24.715447
